N  |x   |y   |radius
--------------------
0  | 3  | 23 |  4  
1  | 0  | 11 |  4  
2  | 29 | 21 |  6  
3  | 17 | 22 |  7  
4  | 22 | 1  |  7  
5  | 17 | 2  |  8  
6  | 13 | 22 |  9  
7  | 13 | 16 |  9  
8  | 6  | 22 |  9  
9  | 22 | 10 |  10 
10 | 23 | 6  |  11 
11 | 18 | 3  |  12 
12 | 6  | 21 |  12 
13 | 0  | 25 |  13 
14 | 8  | 26 |  14 
15 | 16 | 1  |  17 
16 | 0  | 17 |  23 
17 | 0  | 12 |  24 
18 | 25 | 24 |  25 
19 | 29 | 9  |  26 
20 | 15 | 29 |  27 
21 | 16 | 15 |  27 
22 | 0  | 4  |  28 
23 | 22 | 15 |  29 
24 | 27 | 1  |  29 
